#{"t_start": 1779724689.290449, "env_id": "PandaPush-v3"}
r,l,t
-3.953574,50,841.128781
-4.153544,50,842.312645
-5.44928,50,843.350864
-3.932385,50,844.404839
-5.273807,50,845.474228
-3.921205,50,846.71515
-2.999883,50,848.201797
-4.671379,50,849.231923
-3.01906,50,850.288085
-6.353487,50,851.321977
-3.817656,50,852.41349
-0.049723,1,852.434673
-0.044149,1,852.453842
-5.489695,50,853.48456
-4.372696,50,854.515668
-4.233143,50,855.573586
-4.557487,50,856.613434
-6.055461,50,857.64782
-0.049616,1,857.686
-4.717733,50,858.696658
-4.453677,50,859.719586
-6.060817,50,860.761881
-6.362056,50,861.826646
-4.109655,50,862.866271
-3.911536,50,863.967514
-4.973841,50,865.018291
-5.187074,50,866.062082
-4.361826,50,867.100113
-6.259972,50,868.211906
-4.391952,50,869.302649
-4.285374,50,870.355775
-6.167995,50,871.414717
-0.025936,1,871.437877
-4.985542,50,872.510245
-4.183006,50,873.551893
-3.737065,50,874.590467
-2.978459,50,875.685024
-4.648871,50,876.743043
-3.902955,50,877.797433
-0.042325,1,877.81848
-5.374146,50,878.875896
-3.77295,50,879.944856
-3.559813,50,881.015847
-4.906897,50,882.053381
-3.081579,50,883.099764
-4.173393,50,884.142466
-4.625223,50,885.226587
-6.403126,50,886.238883
-0.012688,1,886.259071
-0.042963,1,886.283259
-5.051619,50,887.347584
-5.560079,50,888.388113
-5.288924,50,889.428072
-5.354067,50,890.466751
-4.48405,50,891.565651
-0.026731,1,891.585488
-3.577119,50,892.617453
-5.215979,50,893.704307
-5.025463,50,894.771442
-0.044661,1,894.790507
-2.791879,50,895.814689
-0.042987,1,895.834858
-3.985305,50,896.86883
-4.770065,50,897.925959
-4.133183,50,898.967953
-2.718944,50,900.038412
-5.565008,50,901.069155
-4.465329,50,902.108572
-7.062748,50,903.182194
-0.918691,13,903.464722
-0.034385,1,903.493272
-3.239416,50,904.540033
-0.049211,1,904.5592
-6.061151,50,905.626377
-3.437417,50,906.666969
-0.048122,1,906.686806
-4.982908,50,907.740726
-4.74616,50,908.792734
-0.029587,1,908.825032
-4.542113,50,909.886406
-0.042327,1,909.906741
-5.101683,50,910.96382
-0.031605,1,910.993187
-4.621855,50,912.030734
-3.047776,50,913.077116
-3.091539,50,914.127884
-6.111794,50,915.226928
-0.013018,1,915.248436
-6.08803,50,916.257898
-4.034039,50,917.314925
-3.1429,50,918.347048
-0.008099,1,918.367111
-4.145987,50,919.396709
-0.048814,1,919.416766
-4.091251,50,920.500301
-5.206182,50,921.565041
-3.677826,50,922.593754
-3.769274,50,923.637038
-4.156723,50,924.718514
-0.041362,1,924.738552
-3.910629,50,925.827616
-4.91992,50,926.867893
-0.016101,1,926.893813
-0.043792,1,926.931822
-6.338635,50,927.988472
-5.254818,50,929.033561
-5.23634,50,930.097648
-5.372584,50,931.155673
-0.014029,1,931.16883
-5.299497,50,932.218864
-0.037337,1,932.266455
-4.786229,50,933.305528
-5.32916,50,934.331873
-3.880713,50,935.383518
-2.708369,50,936.443646
-3.200531,50,937.625895
-3.262334,50,938.904814
-2.629152,50,939.950148
-3.610233,50,941.031776
-0.039833,1,941.050983
-0.028507,1,941.068089
-4.292125,50,942.125788
-0.032307,1,942.166986
-5.421756,50,943.237033
-0.041823,1,943.257185
-5.44608,50,944.294649
-0.026466,1,944.325839
-6.31432,50,945.370188
-5.0077,50,946.434079
-4.40822,50,947.468846
-3.085287,50,948.545546
-5.283158,50,949.630297
-3.497517,50,950.715611
-0.047369,1,950.748628
-3.148425,50,951.842275
-5.209325,50,952.893707
-3.178279,50,953.949624
-13.508174,50,954.9979
-4.396549,50,956.063968
-0.045991,1,956.083155
-5.761572,50,957.153449
-0.033947,1,957.174612
-0.030216,1,957.202872
-0.040959,1,957.226075
-3.188828,50,958.247707
-3.116008,50,959.318648
-3.521247,50,960.391611
-0.021978,1,960.411813
-0.042256,1,960.432023
-4.057627,50,961.500746
-0.024593,1,961.530924
-6.371838,50,962.568315
-4.455423,50,963.670182
-0.7197,11,963.902777
-0.049187,1,963.918895
-3.406684,50,965.028726
-4.17045,50,966.107715
-3.469267,50,967.151011
-4.823742,50,968.248232
-3.244434,50,969.295643
-3.234341,50,970.376404
-3.219047,50,971.441992
-3.62794,50,972.496711
-0.049202,1,972.519904
-4.029653,50,973.553748
-6.418038,50,974.599747
-3.391557,50,975.709718
-4.138547,50,976.768762
-3.904696,50,977.808565
-5.290237,50,978.857838
-5.49337,50,979.925749
-4.187522,50,980.988373
-0.032221,1,981.008749
-0.019144,1,981.028931
-0.049959,1,981.063082
-6.118772,50,982.103498
-0.047067,1,982.122658
-6.349773,50,983.161534
-4.540479,50,987.388475
-3.500034,50,988.401659
-3.802131,50,989.447252
-6.345512,50,990.54426
-6.486037,50,991.66895
-4.118596,50,992.785452
-5.85518,50,993.822503
-5.579199,50,994.847198
-4.46821,50,995.918264
-3.727012,50,996.960942
-4.824754,50,998.018612
-0.02937,1,998.051742
-6.357668,50,999.102718
-2.787854,50,1000.192554
-3.71753,50,1001.344741
-0.032723,1,1001.365804
-4.872212,50,1002.468017
-2.853917,50,1003.519501
-3.576808,50,1004.556791
-5.227455,50,1005.650177
-6.075567,50,1006.71847
-3.114335,50,1007.771108
-4.224129,50,1008.84514
-5.013612,50,1009.905396
-8.119786,50,1011.028216
-3.726609,50,1012.090473
-4.54876,50,1013.164182
-3.826416,50,1014.277164
-3.412256,50,1015.338777
-3.025048,36,1016.094246
-4.065239,50,1017.164032
-4.990454,50,1018.239312
-2.505515,50,1019.293933
-4.993252,50,1020.319065
-5.661906,50,1021.364595
-3.73541,50,1022.409381
-2.659745,50,1023.468836
-3.251185,50,1024.547757
-2.968036,50,1025.618651
-0.025144,1,1025.637602
-0.035183,1,1025.665882
-5.259713,50,1026.704239
-0.04425,1,1026.724514
-5.603757,50,1027.818064
-5.076885,50,1028.935438
-4.094478,50,1029.964837
-5.163442,50,1031.059846
-3.041124,50,1032.133368
-0.020054,1,1032.168643
-5.720729,50,1033.217942
-4.206143,50,1034.264081
-3.602861,50,1035.354994
-3.531856,50,1036.435723
-6.035181,50,1037.455405
-0.033458,1,1037.475599
-3.824067,50,1038.534787
-0.023016,1,1038.566021
-2.986971,50,1039.616706
-5.060811,50,1040.751081
-3.018386,50,1041.787602
-5.234888,50,1042.928873
-4.72891,50,1044.038706
-5.337704,50,1045.068856
